"","id","area","jibun","pnu","emd","emd_name","crop_name","지역","centroid_lat","centroid_lon","총인구수","남인구수","여인구수","성비","세대수","세대당인구수","리","Factory_Count","평균용지면적","평균건축면적","Reservoir_Count","평균관개면적","평균순관개면적"
"91","04878939",2179.43510862,"1559답","4723033033115590000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122665.2613999997","1780628.4027666664",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"92","04878947",1913.27396682,"1543답","4723033033115430000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122767.4452199987","1780753.9107799996",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"93","04878949",2019.83122293,"1544답","4723033033115440000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122766.9539599989","1780773.2552799997",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"94","04878950",2111.66262568,"1550답","4723033033115500000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122665.7027799985","1780770.9904399996",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"95","04878951",2075.47271868,"1545답","4723033033115450000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122766.4083000000","1780793.2230599998",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"96","04878952",2098.89738117,"1546답","4723033033115460000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122748.3672000000","1780815.1367714284",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"97","04878953",1962.21470407,"1549답","4723033033115490000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122665.0928600004","1780791.2370600002",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"98","04878934",2128.90979927,"1500답","4723033033115000000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122777.1746545455","1780859.9564000000",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"99","04878936",1969.07100468,"1499답","4723033033114990000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122765.3026400004","1780833.8850999996",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"100","04880456",1173.47931933,"1502답","4723033033115020000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122732.9661379310","1780904.2977413794",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"101","04880457",2031.26237217,"1506답","4723033033115060000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122670.6412333336","1780830.5572666666",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"102","04878993",1930.45635727,"1384답","4723033033113840000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1121946.2120857143","1781111.5943571427",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"103","04878995",1811.72187561,"1381-1답","4723033033113810001","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1121957.3357363632","1781169.9793272726",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"104","04878996",1502.92336088,"1381답","4723033033113810000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1121958.0954333337","1781191.6816666666",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"105","04878096",1048.09072692,"1284-3답","4723033033112840003","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1121965.1789416668","1781293.0781833334",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"106","04878097",1034.28653303,"1284-4답","4723033033112840004","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1121969.7842272732","1781271.3447999998",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"107","04878099",1169.26692377,"1284-6답","4723033033112840006","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1121948.6161599997","1781234.0627600003",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"108","04878997",1276.4250886,"1284-7답","4723033033112840007","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1121947.2691428575","1781212.4870785715",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"109","04879695",2455.10065039,"864답","4723033033108640000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122143.9824750011","1781959.8509375001",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"110","04879688",1528.50559635,"839-1답","4723033033108390001","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122050.8576142865","1781778.3180714280",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"111","04878510",2026.43879455,"842답","4723033033108420000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122037.2226250002","1781734.9475166667",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"112","04879683",1752.8475951,"834답","4723033033108340000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122025.3862294122","1781864.8907647058",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"113","04879685",607.357734477,"835답","4723033033108350000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1121999.4249625003","1781836.8255000000",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"114","04879574",1577.65073688,"623-1답","4723033033106230001","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122042.0332866663","1781595.2507799999",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"115","04879297",1564.52963595,"628-1답","4723033033106280001","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122065.5806000000","1781492.9714750000",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"116","04879303",1115.58115558,"628-2답","4723033033106280002","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122052.8717866668","1781479.0113333336",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"117","04879570",2024.71701615,"628답","4723033033106280000","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122060.2731541672","1781520.1409125000",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"118","04879059",538.642089113,"257-4철","4723033033102570004","47230330","경상북도 영천시 화산면 유성리","논_벼","화산면","1122508.6802500002","1780911.7471928571",3117,1617,1500,107.8,1783,1.75,"유성리",18,6414.72222222222,3090.535,0,0,0
"119","04879439",1877.44026028,"721답","4723033032107210000","47230330","경상북도 영천시 화산면 당곡리","비경지","화산면","1123413.3189142856","1780492.9289714287",3117,1617,1500,107.8,1783,1.75,"당곡리",3,3475,1075.64666666667,0,0,0
"120","04878868",1691.41835802,"807답","4723033032108070000","47230330","경상북도 영천시 화산면 당곡리","논_벼","화산면","1123396.6320133335","1780415.7371466665",3117,1617,1500,107.8,1783,1.75,"당곡리",3,3475,1075.64666666667,0,0,0
"121","04879173",798.131144461,"782답","4723033032107820000","47230330","경상북도 영천시 화산면 당곡리","논_벼","화산면","1123014.7919454544","1780592.3596681815",3117,1617,1500,107.8,1783,1.75,"당곡리",3,3475,1075.64666666667,0,0,0
"122","04879245",4151.94185747,"778답","4723033032107780000","47230330","경상북도 영천시 화산면 당곡리","논_벼","화산면","1123103.3136714287","1780573.4452285718",3117,1617,1500,107.8,1783,1.75,"당곡리",3,3475,1075.64666666667,0,0,0
"123","04879370",1376.7191614,"787답","4723033032107870000","47230330","경상북도 영천시 화산면 당곡리","논_벼","화산면","1123084.1950052632","1780652.0341105263",3117,1617,1500,107.8,1783,1.75,"당곡리",3,3475,1075.64666666667,0,0,0
"124","04878788",1978.8468241,"449답","4723033031104490000","47230330","경상북도 영천시 화산면 석촌리","논_벼","화산면","1123129.6412500001","1779898.7994333333",3117,1617,1500,107.8,1783,1.75,"석촌리",0,0,0,0,0,0
"125","04879166",1017.00508183,"622-1답","4723033032106220001","47230330","경상북도 영천시 화산면 당곡리","논_벼","화산면","1123117.4728423075","1780322.8355230768",3117,1617,1500,107.8,1783,1.75,"당곡리",3,3475,1075.64666666667,0,0,0
"126","04878729",1939.77099404,"591답","4723033031105910000","47230330","경상북도 영천시 화산면 석촌리","논_벼","화산면","1123621.7308285718","1779500.3070714287",3117,1617,1500,107.8,1783,1.75,"석촌리",0,0,0,0,0,0
"127","04879250",2069.41354731,"590답","4723033031105900000","47230330","경상북도 영천시 화산면 석촌리","논_벼","화산면","1123607.8068000004","1779489.9196571431",3117,1617,1500,107.8,1783,1.75,"석촌리",0,0,0,0,0,0
