id,x_min,y_min,x_max,y_max,과수,논,밭,시설,전체,평균_과수_면적,평균_논_면적,평균_밭_면적,평균_시설_면적,전체_평균면적,총_과수_면적,총_논_면적,총_밭_면적,총_시설_면적,전체_면적_합,factory_n,factory_area_mean,factory_area_sum,factory_bulit_area_mean,factory_bulit_area_sum,reservoir_area_ha_mean,reservoir_area_ha_sum,reservoir_store_km3_mean,reservoir_store_km3_sum,factory_irrigation_mean,factory_irrigation_sum,factory_fure_irrigation_mean,factory_fure_irrigation_sum
4734,128.85988948755988,35.9398925376651,128.86100012639562,35.94079185927102,2,0,0,0,2,1774.627300835,0,0,0,1774.627300835,3549.25460167,0,0,0,3549.25460167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4735,128.86100012639562,35.9398925376651,128.86211076523134,35.94079185927102,0,0,2,1,3,0,0,2258.998958277,28.9180983699,2287.9170566468997,0,0,4517.997916554,28.9180983699,4546.9160149239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4736,128.86211076523134,35.9398925376651,128.86322140406708,35.94079185927102,2,1,0,1,4,2432.5807858999997,1769.30863983,0,17.7473717802,4219.6367975102,4865.161571799999,1769.30863983,0,17.7473717802,6652.2175834102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4737,128.86322140406708,35.9398925376651,128.8643320429028,35.94079185927102,1,0,0,1,2,2093.2963582,0,0,2065.20175189,4158.49811009,2093.2963582,0,0,2065.20175189,4158.49811009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4738,128.8643320429028,35.9398925376651,128.86544268173853,35.94079185927102,0,1,0,0,1,0,860.365920224,0,0,860.365920224,0,860.365920224,0,0,860.365920224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5184,128.85988948755988,35.94079185927102,128.86100012639562,35.941691180876944,1,0,0,0,1,2053.89940266,0,0,0,2053.89940266,2053.89940266,0,0,0,2053.89940266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5185,128.86100012639562,35.94079185927102,128.86211076523134,35.941691180876944,1,2,4,0,7,2007.56803147,1708.26489176,997.0745580765,0,4712.9074813065,2007.56803147,3416.52978352,3988.298232306,0,9412.396047296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5186,128.86211076523134,35.94079185927102,128.86322140406708,35.941691180876944,2,1,1,1,5,1590.080247505,1557.0165973,2252.68993722,1553.91048562,6953.697267645,3180.16049501,1557.0165973,2252.68993722,1553.91048562,8543.7775151499991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5187,128.86322140406708,35.94079185927102,128.8643320429028,35.941691180876944,1,4,0,1,6,721.311687269,1373.6972482945,0,1949.1340781,4044.1430136635,721.311687269,5494.788993178,0,1949.1340781,8165.234758547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5188,128.8643320429028,35.94079185927102,128.86544268173853,35.941691180876944,1,1,0,0,2,2150.59715912,1002.19001373,0,0,3152.78717285,2150.59715912,1002.19001373,0,0,3152.78717285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5634,128.85988948755988,35.941691180876944,128.86100012639562,35.942590502482865,0,0,1,2,3,0,0,856.242472642,1325.37058076,2181.613053402,0,0,856.242472642,2650.74116152,3506.983634162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5635,128.86100012639562,35.941691180876944,128.86211076523134,35.942590502482865,1,1,3,1,6,1902.09711329,2077.81253016,883.1883130663334,361.127986407,5224.225942923334,1902.09711329,2077.81253016,2649.564939199,361.127986407,6990.602569056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5636,128.86211076523134,35.941691180876944,128.86322140406708,35.942590502482865,4,2,0,0,6,1973.6915787125001,1467.5834915455,0,0,3441.275070258,7894.7663148500005,2935.166983091,0,0,10829.933297941001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5637,128.86322140406708,35.941691180876944,128.8643320429028,35.942590502482865,5,0,0,0,5,2032.16403252,0,0,0,2032.16403252,10160.8201626,0,0,0,10160.8201626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5638,128.8643320429028,35.941691180876944,128.86544268173853,35.942590502482865,2,0,0,0,2,1439.83006361,0,0,0,1439.83006361,2879.66012722,0,0,0,2879.66012722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6084,128.85988948755988,35.942590502482865,128.86100012639562,35.94348982408878,1,0,2,0,3,2488.82609248,0,205.302914799,0,2694.1290072790002,2488.82609248,0,410.605829598,0,2899.4319220780003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6085,128.86100012639562,35.942590502482865,128.86211076523134,35.94348982408878,1,1,2,1,5,2179.06337156,1322.47271183,1543.104923695,753.948183676,5798.589190761,2179.06337156,1322.47271183,3086.20984739,753.948183676,7341.694114456,1,2835,2835,998.7,998.7,NA,NA,NA,NA,NA,NA,NA,NA
6086,128.86211076523134,35.942590502482865,128.86322140406708,35.94348982408878,4,0,0,4,8,1843.76214508,0,0,141.11625084885,1984.87839592885,7375.04858032,0,0,564.4650033954,7939.5135837154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
