"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CU","2023-04-01","80","3.7","5.68","Lodolo, Nick",656582,666157,,"ball",,,,,13,"Connor Joe strikes out swinging.","R","R","L","CIN","PIT","B",,,0,1,2023,"-1.27","0.32","-1.31","2.17",,,,1,5,"Top",,,,,592200,,,-8.596814079766308,-116.24633374243818,-1.5632838917501126,-9.717898944597108,23.381742322306415,-29.197579064071977,"3.25","1.53",,,,"79.2",2827,"6",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.5",,,,,,,,39,2,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",307,"0","0.02"
"SI","2023-04-01","92.1","3.61","5.69","Lodolo, Nick",656582,666157,,"called_strike",,,,,2,"Connor Joe strikes out swinging.","R","R","L","CIN","PIT","S",,,0,0,2023,"1.44","0.49","0","3.03",,,,1,5,"Top",,,,,592200,,,-12.187902931115895,-133.48906676535813,-1.9037287544331103,19.827793265668763,29.532942612284174,-26.14848731899501,"3.22","1.53",,,,"91.3",2144,"6.1",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.41",,,,,,,,39,1,"Sinker",3,2,2,3,2,3,2,3,"Standard","Standard",110,"0","-0.026"
"CU","2023-04-01","78.3","3.69","5.72","Lodolo, Nick",467793,666157,"field_out","hit_into_play",,,,,8,"Carlos Santana grounds out, third baseman Spencer Steer to first baseman Tyler Stephenson.","R","R","L","CIN","PIT","X",5,"ground_ball",2,2,2023,"-1.64","0.01","0.06","1.64",,,,0,5,"Top",91.76,148.56,,,592200,,,-4.777607929240907,-113.93704288778709,-1.8701030090453536,-13.08910600620682,23.97187833058239,-31.904400515095166,"3.43","1.67",8,"94.7",-12,"77.3",2815,"5.9",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.59",0.154,0.139,"0",1,0,0,2,38,5,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",304,"0.032","-0.212"
"FF","2023-04-01","91.7","3.75","5.73","Lodolo, Nick",467793,666157,,"ball",,,,,12,"Carlos Santana grounds out, third baseman Spencer Steer to first baseman Tyler Stephenson.","R","R","L","CIN","PIT","B",,,1,2,2023,"1.4","1.01","0.15","4.88",,,,0,5,"Top",,,,,592200,,,-12.061095374531357,-133.03984277339268,1.5302880640932452,19.10525461195974,26.42835458965482,-20.613335004550915,"3.54","1.8",,,,"91.6",2226,"6.2",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.26",,,,,,,,38,4,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",117,"0","0.04"
"CU","2023-04-01","76.9","3.73","5.76","Lodolo, Nick",467793,666157,,"called_strike",,,,,12,"Carlos Santana grounds out, third baseman Spencer Steer to first baseman Tyler Stephenson.","R","R","L","CIN","PIT","S",,,1,1,2023,"-1.23","0.06","0.87","3.04",,,,0,5,"Top",,,,,592200,,,-3.805389176230351,-111.88360069563093,1.1378414084907331,-9.551001388530603,21.5203677440779,-32.10187164287076,"3.38","1.64",,,,"76.2",2667,"5.9",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.57",,,,,,,,38,3,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",297,"0","-0.053"
"CU","2023-04-01","77.8","3.7","5.71","Lodolo, Nick",467793,666157,,"ball",,,,,14,"Carlos Santana grounds out, third baseman Spencer Steer to first baseman Tyler Stephenson.","R","R","L","CIN","PIT","B",,,0,1,2023,"-1.3","-0.25","0.05","0.72",,,,0,5,"Top",,,,,592200,,,-5.4177878226768375,-113.09335107542941,-3.2357748824067594,-9.894843376113624,23.553094226874638,-33.838653428837375,"3.54","1.72",,,,"76.9",2744,"6",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.46",,,,,,,,38,2,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",306,"0","0.027"
"FF","2023-04-01","91.9","3.72","5.55","Lodolo, Nick",457705,666157,"field_out","hit_into_play",,,,,5,"Andrew McCutchen flies out to center fielder TJ Friedl.","R","R","L","CIN","PIT","X",8,"fly_ball",0,0,2023,"1.74","0.86","0.26","2.29",,,668804,2,4,"Top",141.11,89.23,,,592200,,,-12.494419245029734,-133.17523319258333,-4.18629716605736,23.41328512851589,30.109606132818296,-21.227803797630337,"3.24","1.58",277,"87.6",49,"91.5",2319,"6.4",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.1",0.014,0.02,"0",1,0,0,3,33,1,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",116,"0.029","-0.242"
"FF","2023-04-01","92.4","3.68","5.55","Lodolo, Nick",668804,666157,"single","hit_into_play",,,,,8,"Bryan Reynolds singles on a ground ball to right fielder Wil Myers.","R","R","L","CIN","PIT","X",9,"ground_ball",2,1,2023,"1.66","0.85","0.07","1.96",,,,2,4,"Top",168.56,116.39,,,592200,,,-12.765687296972734,-133.96302371787124,-5.15139374799551,22.722724557897667,28.726951301242902,-20.9011219547306,"3.13","1.52",18,"100.8",-5,"92",2301,"6.2",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.25",0.28,0.254,"0.9",1,1,0,2,32,4,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",116,"-0.016","0.116"
"FF","2023-04-01","92.1","3.77","5.64","Lodolo, Nick",668804,666157,,"ball",,,,,11,"Bryan Reynolds singles on a ground ball to right fielder Wil Myers.","R","R","L","CIN","PIT","B",,,1,1,2023,"1.5","0.99","-1.17","3.23",,,,2,4,"Top",,,,,592200,,,-15.709171758308226,-133.3229807789819,-2.4242617379852174,21.151329415740037,26.62394252979907,-19.90662957599932,"3.12","1.53",,,,"91.9",2376,"6.3",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.2",,,,,,,,32,3,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",117,"0","0.022"
"CU","2023-04-01","76.9","3.77","5.69","Lodolo, Nick",668804,666157,,"swinging_strike",,,,,14,"Bryan Reynolds singles on a ground ball to right fielder Wil Myers.","R","R","L","CIN","PIT","S",,,1,0,2023,"-1.68","-0.34","0.3","1.32",,,,2,4,"Top",,,,,592200,,,-4.276376709402443,-111.95133854183189,-1.622708432842653,-13.20164020248361,21.553940855816546,-34.9184462036047,"3.13","1.52",,,,"76.2",2718,"5.9",718756,666157,592200,663886,663697,668715,676480,656413,670770,571976,"54.63",,,,,,,,32,2,"Curveball",3,2,2,3,2,3,2,3,"Standard","Standard",299,"0","-0.023"
